#{"t_start": 1764996142.7048395, "env_id": "None"}
r,l,t
-24.964103,4800,1.741577
-22.069231,4800,3.563742
-21.961538,4800,5.361696
-25.020513,4800,7.112246
-25.048718,4800,8.897803
-25.125641,4800,10.721054
-25.089744,4800,12.449236
-25.012821,4800,14.241693
-25.169231,4800,16.086099
-21.85641,4800,17.803828
-25.035897,4800,19.679349
-24.994872,4800,21.549172
-25.035897,4800,23.305475
-22.002564,4800,25.100896
-25.023077,4800,26.932901
-25.092308,4800,28.674983
-24.994872,4800,30.48447
-22.102564,4800,32.335314
-25.0,4800,34.134082
-24.979487,4800,35.841543
-21.905128,4800,37.647518
-21.95641,4800,39.461693
-22.002564,4800,41.174603
-21.915385,4800,42.968504
-22.028205,4800,44.757803
46.216923,1372,45.234449
-21.969231,4800,47.032316
-21.94359,4800,48.74203
-21.953846,4800,50.560371
-21.95641,4800,52.364504
49.238462,640,52.546281
-21.905128,4800,54.399797
-21.982051,4800,56.308933
-21.876923,4800,58.078248
-22.0,4800,59.900289
-25.005128,4800,61.743405
-24.958974,4800,63.553954
-21.905128,4800,65.319764
-21.994872,4800,67.152131
-26.653846,4800,69.014909
-24.953846,4800,70.742074
-21.917949,4800,72.554806
-24.866667,4800,74.383279
-24.984615,4800,76.144233
-25.020513,4800,78.015624
-21.930769,4800,79.85287
-36.205128,4800,81.586284
-25.0,4800,83.398003
-24.979487,4800,85.210504
-21.882051,4800,86.938089
32.314744,4155,88.544561
-24.882051,4800,90.258095
-25.0,4800,92.066117
-21.951282,4800,93.875138
-21.938462,4800,95.571851
-25.584615,4800,97.383742
-24.974359,4800,99.515223
-25.017949,4800,101.273641
-21.951282,4800,103.21615
-21.917949,4800,105.179779
-24.979487,4800,106.976495
-24.953846,4800,108.832217
-24.958974,4800,110.648011
-24.974359,4800,112.448765
