#{"t_start": 1764996255.641865, "env_id": "None"}
r,l,t
-25.020513,4800,1.772288
-25.048718,4800,3.585927
-25.033333,4800,5.446493
-25.076923,4800,7.206878
-25.010256,4800,9.093445
-24.964103,4800,10.977194
-25.023077,4800,12.697052
-25.071795,4800,14.525006
-25.015385,4800,16.503266
-25.125641,4800,18.760857
-25.058974,4800,21.379709
-24.953846,4800,23.839235
-25.038462,4800,25.947146
-25.035897,4800,28.289952
-25.0,4800,30.545131
-25.0,4800,32.65443
-25.046154,4800,34.908527
-24.979487,4800,37.14867
-25.053846,4800,39.382811
-25.05641,4800,41.546543
-24.971795,4800,43.857369
-24.979487,4800,46.296049
-25.048718,4800,48.495736
-25.030769,4800,50.757565
-25.025641,4800,53.009376
-25.094872,4800,55.196749
-24.920513,4800,57.557796
-25.010256,4800,59.741584
-24.997436,4800,62.028616
-25.053846,4800,64.701067
-25.107692,4800,67.00517
-25.051282,4800,69.21918
-25.074359,4800,71.309327
-25.012821,4800,73.246898
-25.102564,4800,75.165408
-24.953846,4800,76.95947
-25.082051,4800,78.867197
-25.069231,4800,80.737207
-25.012821,4800,82.513826
-25.010256,4800,84.366872
-22.025641,4800,86.226713
-24.994872,4800,88.011088
-25.020513,4800,89.865788
-24.997436,4800,91.758265
-25.084615,4800,93.476731
-25.066667,4800,95.296477
-25.017949,4800,97.11029
-25.030769,4800,98.89478
-25.002564,4800,100.697259
-24.953846,4800,102.518985
-25.092308,4800,104.322882
-25.035897,4800,106.060056
-25.030769,4800,107.871801
-25.023077,4800,109.680889
-25.035897,4800,111.399733
-25.058974,4800,113.25406
-25.025641,4800,115.071446
-24.982051,4800,116.790614
-25.038462,4800,118.608442
-25.015385,4800,120.429414
-24.971795,4800,122.544277
-25.0,4800,124.59227
