#{"t_start": 1764102146.6148522, "env_id": "None"}
r,l,t
-38.526531,7500,2.762646
-35.546939,7500,5.533738
-35.483673,7500,8.305954
39.958265,2561,9.292749
19.058265,6801,11.853312
-40.561224,7500,14.633147
32.319184,4148,16.167845
-40.657143,7500,19.04252
-41.82449,7500,21.913749
43.594286,1824,22.59268
-38.467347,7500,25.467411
-35.510204,7500,28.247231
-35.430612,7500,31.012371
-40.891837,7500,33.846809
-38.442857,7500,36.604897
-38.565306,7500,39.361504
-35.455102,7500,42.201769
-38.55102,7500,44.947433
-42.555102,7500,47.707297
-38.471429,7500,50.542872
-38.52449,7500,53.277124
-38.438776,7500,56.047543
