#{"t_start": 1764102202.8118246, "env_id": "None"}
r,l,t
-38.444898,7500,2.799723
-38.55102,7500,5.565998
-38.559184,7500,8.337744
-38.508163,7500,11.216969
-38.571429,7500,14.023863
-38.561224,7500,16.854168
-38.542857,7500,19.855225
-38.522449,7500,22.716089
-38.569388,7500,25.538502
-38.534694,7500,28.437234
-38.555102,7500,31.291921
-38.453061,7500,34.113553
-38.522449,7500,37.017757
-38.526531,7500,39.830641
-38.530612,7500,42.606194
-38.518367,7500,45.470906
-38.540816,7500,48.241771
-38.522449,7500,51.033814
-38.542857,7500,53.902184
-38.526531,7500,56.695634
