#{"t_start": 1764687423.857686, "env_id": "None"}
r,l,t
-35.4,7500,9.902943
-35.4,7500,21.105094
-35.4,7500,31.664758
-35.4,7500,43.624119
-35.4,7500,55.538886
-35.4,7500,65.848398
-35.4,7500,77.62499
-35.4,7500,89.296633
-35.4,7500,100.530724
-35.4,7500,111.103358
-35.4,7500,121.500807
-35.4,7500,132.012907
-35.4,7500,142.46342
-35.4,7500,153.739564
-35.4,7500,165.990941
-35.4,7500,176.346314
-35.4,7500,186.771247
-35.4,7500,199.177468
-35.4,7500,209.700849
-35.4,7500,219.418123
-35.4,7500,232.283457
-35.4,7500,243.259406
-35.4,7500,254.459929
-35.4,7500,264.317636
-35.4,7500,277.764229
-35.4,7500,288.974547
-35.4,7500,299.898307
-35.4,7500,312.461432
-35.4,7500,324.196166
-35.4,7500,334.570139
-35.4,7500,345.689846
-35.4,7500,357.411059
-35.4,7500,368.499572
-35.4,7500,379.088593
-35.4,7500,383.633936
-35.4,7500,386.257981
-35.4,7500,388.818103
-35.4,7500,391.459258
-35.4,7500,399.950622
-35.4,7500,410.55733
