#{"t_start": 1764996021.9306874, "env_id": "None"}
r,l,t
52.675,85,6.134138
-1.54,108,6.157918
-1.62,108,6.19363
-1.58,108,6.219797
-1.6,108,6.252923
-1.56,108,6.274057
52.95,30,6.290294
-1.62,108,6.306352
1.52,108,6.338096
52.7,80,6.354272
52.67,86,6.538474
-1.92,108,6.564411
1.44,108,6.596272
-2.0,108,6.628889
52.94,32,6.638407
-2.5,108,6.669163
1.36,108,6.692173
1.52,108,6.730888
-1.9,108,6.749439
52.58,104,6.786985
-1.6,108,6.813251
1.22,108,6.946766
52.865,47,6.962905
-1.56,108,6.99222
1.56,108,7.020159
52.875,45,7.032026
52.785,63,7.053189
0.02,108,7.078403
-2.88,108,7.109943
52.515,77,7.125854
52.98,24,7.143603
-1.48,108,7.182045
52.755,69,7.19193
-1.9,108,7.310941
-2.92,108,7.345542
-4.44,108,7.368557
-3.64,108,7.391632
52.325,75,7.42357
52.965,27,7.42357
52.77,66,7.439751
52.825,55,7.459647
52.935,33,7.471573
52.925,35,7.471573
-2.5,108,7.515095
-2.22,108,7.547076
51.46,108,7.585703
-2.78,108,7.697375
52.925,35,7.708375
-2.5,108,7.741778
-3.84,108,7.757773
52.64,52,7.773609
52.64,72,7.789703
52.905,39,7.811424
-1.84,108,7.840217
52.565,67,7.853367
-2.32,108,7.88557
-2.62,108,7.921931
52.83,54,7.940206
-1.78,108,8.056072
51.575,65,8.062095
52.98,24,8.078205
-4.12,108,8.110306
52.97,26,8.110306
0.26,108,8.141868
51.685,83,8.157661
52.59,82,8.196768
-5.08,108,8.2279
52.67,86,8.252426
52.95,30,8.261275
-3.3,108,8.290389
-3.42,108,8.32199
52.84,52,8.32199
51.03,94,8.440304
-4.02,108,8.475591
-3.94,108,8.505694
52.99,22,8.511694
-4.46,108,8.540399
-3.74,108,8.563751
52.975,25,8.579694
52.915,37,8.579694
52.435,53,8.59569
-3.72,108,8.627578
52.885,43,8.643335
-3.12,108,8.678087
-2.84,108,8.707458
-5.76,108,8.822172
-4.02,108,8.857841
52.21,78,8.881632
52.835,53,8.890903
52.96,28,8.90711
52.96,28,8.90711
52.955,29,8.922882
51.975,85,8.94604
51.775,65,8.954491
53.0,20,8.954491
52.885,43,8.970476
-3.04,108,9.012257
-4.76,108,9.041299
-3.12,108,9.063153
50.35,70,9.0931
52.865,47,9.188622
-6.54,108,9.222207
52.955,29,9.230145
51.915,77,9.241442
52.96,28,9.257122
-1.34,108,9.289076
51.175,85,9.313634
52.95,30,9.32164
-4.04,108,9.341786
50.665,107,9.37159
53.01,18,9.37159
-4.66,108,9.403517
52.87,46,9.429019
-4.84,108,9.459191
51.795,101,9.57156
52.52,36,9.58333
52.98,24,9.591355
49.56,108,9.6109
52.145,71,9.642815
52.96,28,9.642815
-0.94,108,9.674626
50.69,62,9.693189
53.035,13,9.693189
52.94,32,9.710449
-1.14,108,9.740501
52.95,30,9.742156
53.01,18,9.742156
52.975,25,9.760773
53.045,11,9.764784
52.915,37,9.765787
52.985,23,9.765787
51.07,86,9.797843
52.93,34,9.814724
50.67,106,9.931214
52.955,29,9.940248
52.965,27,9.950285
52.89,42,9.962085
52.95,30,9.972594
52.875,45,9.984601
52.98,24,9.99199
52.95,30,9.999988
52.99,22,10.006365
52.965,27,10.01436
52.845,51,10.02866
52.965,27,10.032093
53.045,11,10.032093
52.93,34,10.047865
52.98,24,10.047865
-4.56,108,10.086103
52.81,58,10.094103
53.01,18,10.094103
52.065,47,10.114573
