#{"t_start": 1764687834.7812252, "env_id": "None"}
r,l,t
52.61,98,0.14193
52.61,98,0.252542
52.61,98,0.346877
52.61,98,0.477877
52.61,98,0.632148
52.61,98,0.758586
52.61,98,0.901337
52.61,98,0.995952
52.61,98,1.122316
52.61,98,1.248265
52.61,98,1.72118
52.61,98,1.848778
52.61,98,1.958974
52.61,98,2.053645
52.61,98,2.164589
52.61,98,2.290965
52.61,98,2.354775
52.61,98,2.466221
52.61,98,2.624409
52.61,98,2.766317
52.61,98,3.182467
52.61,98,3.28272
52.61,98,3.383068
52.61,98,3.495972
52.61,98,3.590827
52.61,98,3.701689
52.61,98,3.828558
52.61,98,3.923425
52.61,98,4.034329
52.61,98,4.14489
52.61,98,4.239642
52.61,98,4.60293
52.61,98,4.697917
52.61,98,4.787635
52.61,98,4.888129
52.61,98,4.988396
52.61,98,5.092515
52.61,98,5.21894
52.61,98,5.34569
52.61,98,5.45687
52.61,98,5.567493
52.61,98,5.979095
52.61,98,6.121582
52.61,98,6.232069
52.61,98,6.358481
52.61,98,6.501076
52.61,98,6.612464
52.61,98,6.659782
52.61,98,6.722881
52.61,98,6.83361
52.61,98,6.928464
52.61,98,7.039079
52.61,98,7.466928
52.61,98,7.561981
52.61,98,7.67297
52.61,98,7.794503
52.61,98,7.894654
52.61,98,7.995167
52.61,98,8.095441
52.61,98,8.195526
52.61,98,8.296007
52.61,98,8.400572
52.61,98,8.797599
52.61,98,8.922493
52.61,98,9.017391
52.61,98,9.111891
52.61,98,9.222382
52.61,98,9.333411
52.61,98,9.443777
52.61,98,9.538628
52.61,98,9.649788
52.61,98,9.745018
52.61,98,9.85605
52.61,98,10.267363
52.61,98,10.376523
52.61,98,10.488333
52.61,98,10.614635
52.61,98,10.725413
52.61,98,10.836454
52.61,98,10.947228
52.61,98,11.04207
52.61,98,11.152017
52.61,98,11.262673
52.61,98,11.674517
52.61,98,11.785102
52.61,98,11.895947
52.61,98,11.990818
52.61,98,12.101344
52.61,98,12.196196
52.61,98,12.307331
52.61,98,12.417855
52.61,98,12.512644
52.61,98,12.62346
52.61,98,12.760621
52.265,167,13.224314
51.54,312,13.556887
52.125,195,13.683299
52.31,158,13.873961
52.09,202,14.379561
52.205,179,14.569352
52.295,161,14.791154
51.895,241,15.076333
52.305,159,15.250227
52.16,188,15.456398
52.32,156,15.962451
52.34,152,16.136745
52.335,153,16.311015
52.355,149,16.469223
52.39,142,16.611316
52.345,151,16.721684
52.36,148,16.879508
52.5,120,17.33711
52.415,137,17.495686
52.32,156,17.669312
52.39,142,17.924095
52.495,121,18.097576
52.435,133,18.240132
52.52,116,18.366097
52.485,123,18.492805
52.365,147,19.032223
52.415,137,19.221691
52.42,136,19.363991
52.49,122,19.490903
52.42,136,19.633278
52.555,109,19.743903
52.495,121,19.870769
52.425,135,20.013096
52.53,114,20.440566
52.495,121,20.566987
52.485,123,20.693506
52.5,120,20.819975
52.385,143,20.978174
52.425,135,21.135734
52.375,145,21.277651
52.475,125,21.404288
52.455,129,21.910356
52.415,137,22.036633
52.415,137,22.178099
52.54,112,22.300203
52.46,128,22.428516
52.315,157,22.573268
52.445,131,22.715722
52.475,125,23.174538
52.29,162,23.364053
52.5,120,23.47465
52.515,117,23.584633
52.48,124,23.710589
52.515,117,23.836981
52.495,121,23.995072
52.565,107,24.105857
52.555,109,24.216537
52.545,111,24.644673
52.465,127,24.754946
52.54,112,24.88141
52.47,126,25.023719
52.57,106,25.150713
52.545,111,25.277178
52.56,108,25.404106
52.53,114,25.514798
52.35,150,25.97337
52.545,111,26.083889
52.555,109,26.194525
52.55,110,26.305131
52.51,118,26.46369
52.48,124,26.59024
52.525,115,26.716699
52.57,106,26.827435
52.56,108,26.939682
52.465,127,27.43077
52.51,118,27.572684
52.505,119,27.69862
52.52,116,27.857141
52.515,117,27.975838
52.545,111,28.109411
52.505,119,28.241731
52.475,125,28.378026
52.47,126,28.520458
52.575,105,28.980052
52.53,114,29.110922
52.53,114,29.249265
52.56,108,29.375849
52.575,105,29.486833
52.55,110,29.613437
52.51,118,29.744915
52.55,110,29.849805
52.45,130,30.008908
52.505,119,30.451963
52.52,116,30.579201
52.535,113,30.626791
52.56,108,30.674098
52.525,115,30.753157
52.565,107,30.863603
52.495,121,30.990193
52.555,109,31.100802
52.47,126,31.275112
52.53,114,31.735189
52.56,108,31.861936
52.52,116,31.972836
52.475,125,32.116024
52.545,111,32.226918
52.435,133,32.369579
52.5,120,32.496132
52.52,116,32.606967
52.5,120,32.765487
52.545,111,33.193228
52.52,116,33.335676
52.53,114,33.454379
52.535,113,33.541163
52.51,118,33.635936
52.525,115,33.778934
52.51,118,33.955272
52.545,111,34.080136
52.525,115,34.190182
52.525,115,34.616644
52.565,107,34.664519
52.56,108,34.775948
52.48,124,34.90254
52.46,128,35.028996
52.55,110,35.139708
52.55,110,35.266191
52.525,115,35.423972
52.57,106,35.614763
52.515,117,36.076288
52.555,109,36.203285
52.57,106,36.31414
52.48,124,36.440636
52.535,113,36.567553
52.53,114,36.76219
52.51,118,36.900021
52.555,109,37.009981
52.545,111,37.104295
52.565,107,37.533522
52.585,103,37.676418
52.505,119,37.83448
52.6,100,38.008377
52.57,106,38.166418
52.59,102,38.299409
52.52,116,38.439021
52.585,103,38.567407
52.555,109,38.709127
52.53,114,39.120461
52.58,104,39.252888
52.57,106,39.320312
52.56,108,39.37051
52.595,101,39.506113
52.55,110,39.644622
52.6,100,39.771014
52.56,108,39.96252
52.52,116,40.153039
52.575,105,40.321871
52.58,104,40.936949
52.59,102,41.081303
52.555,109,41.20334
52.575,105,41.336291
52.575,105,41.447053
52.56,108,41.605917
52.59,102,41.738639
52.6,100,41.864052
52.595,101,41.988107
52.59,102,42.15254
52.6,100,42.619409
52.57,106,42.753911
52.585,103,42.882566
52.58,104,42.99349
52.59,102,43.135972
52.555,109,43.25791
52.595,101,43.349285
52.56,108,43.475907
52.57,106,43.589088
52.585,103,44.069667
52.6,100,44.202927
52.575,105,44.370027
52.56,108,44.549146
52.58,104,44.679612
52.61,98,44.81017
52.59,102,44.998155
52.595,101,45.13707
52.6,100,45.286248
52.565,107,45.439859
52.585,103,45.953429
52.595,101,46.086333
52.595,101,46.23719
52.59,102,46.352303
52.59,102,46.4811
52.605,99,46.612294
52.61,98,46.700953
52.6,100,46.812507
52.605,99,46.950036
52.605,99,47.068815
52.61,98,47.182563
52.6,100,47.643101
52.6,100,47.769629
52.61,98,47.864404
52.6,100,47.959216
52.61,98,48.054075
52.6,100,48.16978
52.595,101,48.264128
52.59,102,48.449776
52.595,101,48.585878
52.61,98,48.689683
52.605,99,49.005738
52.6,100,49.051998
52.605,99,49.099484
52.61,98,49.147261
52.59,102,49.202267
52.595,101,49.250509
