#{"t_start": 1764996839.5833452, "env_id": "None"}
r,l,t
-21.9,4800,1.754031
-21.9,4800,3.578622
-21.9,4800,5.394551
-21.9,4800,7.148895
-21.9,4800,8.96993
-21.9,4800,10.802719
-21.9,4800,12.53943
-21.9,4800,14.350147
-24.989744,4800,16.159997
-24.979487,4800,17.886033
-21.9,4800,19.723675
-24.930769,4800,21.562126
-21.9,4800,23.271095
-21.9,4800,25.077659
-21.9,4800,26.903971
-163.169231,4800,28.601394
-21.9,4800,30.455301
-21.9,4800,32.315373
-21.9,4800,34.270183
-21.9,4800,36.261045
-24.948718,4800,38.270372
-24.915385,4800,40.335845
-24.984615,4800,42.069208
-21.9,4800,43.887511
-24.912821,4800,45.726899
-24.997436,4800,47.50391
-21.9,4800,49.305117
-24.984615,4800,51.113154
-24.964103,4800,52.863422
-21.9,4800,54.685305
-24.935897,4800,56.495363
-25.0,4800,58.239488
-21.9,4800,60.038728
-24.930769,4800,61.863548
-21.9,4800,63.707982
-24.923077,4800,65.458203
-24.930769,4800,67.314664
-21.9,4800,69.129038
-24.915385,4800,70.848075
-24.910256,4800,72.694988
-21.9,4800,74.49443
-24.95641,4800,76.215464
-21.9,4800,78.339672
-24.946154,4800,80.364107
-24.946154,4800,82.224251
-21.9,4800,84.059512
-24.920513,4800,85.895077
-21.9,4800,87.645199
-21.9,4800,89.492867
-21.9,4800,91.332666
-21.9,4800,93.184692
-21.9,4800,94.926471
-21.9,4800,96.769453
-21.9,4800,98.60958
-21.9,4800,100.380149
-24.948718,4800,102.269724
-24.982051,4800,104.122463
-24.992308,4800,105.88682
-24.935897,4800,107.722797
-21.9,4800,109.554666
-24.976923,4800,111.285323
-24.907692,4800,113.101268
