#{"t_start": 1764996721.6868365, "env_id": "None"}
r,l,t
-24.994872,4800,1.824674
-24.997436,4800,3.651314
-24.958974,4800,5.470348
-21.9,4800,7.207649
-21.9,4800,9.043503
-24.920513,4800,10.853736
-24.907692,4800,12.572028
52.71,78,12.593791
-24.982051,4800,14.422172
-24.984615,4800,16.514089
-21.9,4800,18.446665
-24.979487,4800,20.38426
-24.938462,4800,22.218001
-21.9,4800,24.037233
-24.969231,4800,25.791826
-24.984615,4800,27.639686
-24.989744,4800,29.492
-21.9,4800,31.261901
-24.979487,4800,33.11937
-24.933333,4800,34.95875
-21.9,4800,36.728623
-24.958974,4800,38.66588
-425.794872,4800,40.572369
-21.9,4800,42.46611
-21.9,4800,44.501295
-24.912821,4800,46.677502
52.695,81,46.705777
-21.9,4800,49.030883
-24.95641,4800,50.977497
-21.9,4800,52.993987
-21.9,4800,54.92369
-21.9,4800,56.761676
52.695,81,56.77769
-21.9,4800,58.748052
-21.9,4800,60.665732
-21.9,4800,62.493745
-21.9,4800,64.698393
52.695,81,64.71726
-21.9,4800,66.728017
-21.9,4800,68.687391
-21.9,4800,70.55646
-25.0,4800,72.473948
-24.928205,4800,74.449893
-335.597436,4800,76.447228
-21.9,4800,78.539194
-21.9,4800,80.483021
-21.9,4800,82.259227
-21.9,4800,84.153712
-21.9,4800,85.999795
-199.517949,4800,87.807348
-26.615385,4800,89.666248
-22.023077,4800,91.548243
-22.074359,4800,93.369264
-22.033333,4800,95.181444
-22.017949,4800,97.07349
-21.910256,4800,98.975545
-24.966667,4800,100.755365
-22.033333,4800,102.589216
-22.017949,4800,104.462715
-21.982051,4800,106.218885
-22.017949,4800,108.031062
-21.997436,4800,109.851866
-21.961538,4800,111.587735
-21.992308,4800,113.386506
-21.976923,4800,115.274985
-21.992308,4800,117.018996
